function_name,return_type,arg_types,arg_count,dll_name
VariantToDosDateTime,HRESULT,const VARIANT *const;WORD *;WORD *,3,propsys.dll
VariantToStrRet,HRESULT,const VARIANT *const;STRRET *,2,propsys.dll
VariantToFileTime,HRESULT,const VARIANT *const;PSTIME_FLAGS;FILETIME *,3,propsys.dll
VariantGetElementCount,ULONG,const VARIANT *const,1,propsys.dll
VariantToBooleanArray,HRESULT,const VARIANT *const;BOOL *;ULONG;ULONG *,4,propsys.dll
VariantToInt16Array,HRESULT,const VARIANT *const;SHORT *;ULONG;ULONG *,4,propsys.dll
VariantToUInt16Array,HRESULT,const VARIANT *const;USHORT *;ULONG;ULONG *,4,propsys.dll
VariantToInt32Array,HRESULT,const VARIANT *const;LONG *;ULONG;ULONG *,4,propsys.dll
VariantToUInt32Array,HRESULT,const VARIANT *const;ULONG *;ULONG;ULONG *,4,propsys.dll
VariantToInt64Array,HRESULT,const VARIANT *const;LONGLONG *;ULONG;ULONG *,4,propsys.dll
VariantToUInt64Array,HRESULT,const VARIANT *const;ULONGLONG *;ULONG;ULONG *,4,propsys.dll
VariantToDoubleArray,HRESULT,const VARIANT *const;DOUBLE *;ULONG;ULONG *,4,propsys.dll
VariantToStringArray,HRESULT,const VARIANT *const;PWSTR *;ULONG;ULONG *,4,propsys.dll
VariantToBooleanArrayAlloc,HRESULT,const VARIANT *const;BOOL **;ULONG *,3,propsys.dll
VariantToInt16ArrayAlloc,HRESULT,const VARIANT *const;SHORT **;ULONG *,3,propsys.dll
VariantToUInt16ArrayAlloc,HRESULT,const VARIANT *const;USHORT **;ULONG *,3,propsys.dll
VariantToInt32ArrayAlloc,HRESULT,const VARIANT *const;LONG **;ULONG *,3,propsys.dll
VariantToUInt32ArrayAlloc,HRESULT,const VARIANT *const;ULONG **;ULONG *,3,propsys.dll
VariantToInt64ArrayAlloc,HRESULT,const VARIANT *const;LONGLONG **;ULONG *,3,propsys.dll
VariantToUInt64ArrayAlloc,HRESULT,const VARIANT *const;ULONGLONG **;ULONG *,3,propsys.dll
VariantToDoubleArrayAlloc,HRESULT,const VARIANT *const;DOUBLE **;ULONG *,3,propsys.dll
VariantToStringArrayAlloc,HRESULT,const VARIANT *const;PWSTR **;ULONG *,3,propsys.dll
VariantGetBooleanElem,HRESULT,const VARIANT *const;ULONG;BOOL *,3,propsys.dll
